Sale_ID,Date,Model,Variant,Color,City,Country,Dealer,Units_Sold,Price_USD,Discount_%,Payment_Mode
262,2022-08-30,Huracán,Performante,Yellow,Berlin,Germany,Lambo Berlin,2,255000,6.0,Finance
263,2021-12-31,Revuelto,S,Black,Mumbai,India,Lamborghini Mumbai,3,415000,7.5,Lease
264,2020-03-15,Aventador,SVJ,White,Dubai,UAE,Lamborghini Dubai,1,485000,2.0,Cryptocurrency
265,2023-09-20,Huracán,EVO,Green,London,UK,Lambo London,2,265000,0.0,Finance
266,2021-07-25,Urus,S,Blue,Bangalore,India,Lamborghini Delhi,4,240000,6.0,Lease
267,2024-06-30,Aventador,Base,Red,Los Angeles,USA,Lambo LA,1,425000,10.0,Full Cash
268,2019-12-10,Revuelto,SVJ,Yellow,Abu Dhabi,UAE,Lambo Abu Dhabi,3,460000,3.5,Full Cash
269,2022-10-15,Huracán,EVO,White,Munich,Germany,Lambo Berlin,2,250000,6.5,Finance
270,2023-04-02,Urus,Performante,Black,Delhi,India,Lamborghini Delhi,3,230000,5.0,Lease
271,2024-03-15,Urus,Base,Red,New York,USA,Lamborghini Miami,1,215000,5.0,Full Cash
272,2022-11-08,Huracán,Performante,Yellow,Berlin,Germany,Lambo Berlin,2,255000,5.5,Finance
273,2021-06-25,Revuelto,S,Black,Mumbai,India,Lamborghini Mumbai,4,420000,7.5,Lease
274,2020-10-18,Aventador,SVJ,White,Dubai,UAE,Lamborghini Dubai,1,495000,1.5,Cryptocurrency
275,2023-12-22,Huracán,EVO,Green,London,UK,Lambo London,2,270000,0.0,Finance
276,2021-09-30,Urus,S,Blue,Bangalore,India,Lamborghini Delhi,3,235000,7.0,Lease
277,2024-07-25,Aventador,Base,Red,Los Angeles,USA,Lambo LA,1,430000,11.0,Full Cash
278,2019-06-07,Revuelto,SVJ,Yellow,Abu Dhabi,UAE,Lambo Abu Dhabi,2,460000,3.0,Full Cash
279,2022-12-29,Huracán,EVO,White,Munich,Germany,Lambo Berlin,1,255000,7.5,Finance
280,2023-05-03,Urus,Performante,Black,Delhi,India,Lamborghini Delhi,3,225000,4.5,Lease
281,2024-03-18,Urus,Base,Red,New York,USA,Lamborghini Miami,2,215000,5.0,Full Cash
282,2022-11-12,Huracán,Performante,Yellow,Berlin,Germany,Lambo Berlin,1,250000,6.0,Finance
283,2021-06-29,Revuelto,S,Black,Mumbai,India,Lamborghini Mumbai,3,405000,7.0,Lease
284,2020-05-08,Aventador,SVJ,White,Dubai,UAE,Lamborghini Dubai,1,490000,2.0,Cryptocurrency
285,2023-12-28,Huracán,EVO,Green,London,UK,Lambo London,3,270000,0.0,Finance
286,2021-03-14,Urus,S,Blue,Bangalore,India,Lamborghini Delhi,2,235000,6.0,Lease
287,2024-01-13,Aventador,Base,Red,Los Angeles,USA,Lambo LA,1,435000,9.0,Full Cash
288,2019-08-04,Revuelto,SVJ,Yellow,Abu Dhabi,UAE,Lambo Abu Dhabi,1,455000,3.5,Full Cash
289,2022-10-04,Huracán,EVO,White,Munich,Germany,Lambo Berlin,2,260000,8.0,Finance
290,2023-03-29,Urus,S,Black,Delhi,India,Lamborghini Delhi,3,230000,5.0,Lease
291,2024-05-22,Urus,Base,Red,New York,USA,Lamborghini Miami,1,220000,5.5,Full Cash
292,2022-08-28,Huracán,Performante,Yellow,Berlin,Germany,Lambo Berlin,2,255000,6.0,Finance
293,2021-12-28,Revuelto,S,Black,Mumbai,India,Lamborghini Mumbai,3,415000,7.0,Lease
294,2020-03-18,Aventador,SVJ,White,Dubai,UAE,Lamborghini Dubai,1,485000,2.5,Cryptocurrency
295,2023-09-22,Huracán,EVO,Green,London,UK,Lambo London,2,265000,0.0,Finance
296,2021-07-23,Urus,S,Blue,Bangalore,India,Lamborghini Delhi,3,240000,5.5,Lease
297,2024-07-04,Aventador,Base,Red,Los Angeles,USA,Lambo LA,1,425000,10.0,Full Cash
298,2019-12-08,Revuelto,SVJ,Yellow,Abu Dhabi,UAE,Lambo Abu Dhabi,2,460000,3.5,Full Cash
299,2022-10-18,Huracán,EVO,White,Munich,Germany,Lambo Berlin,1,250000,6.5,Finance
300,2023-02-13,Urus,Performante,Black,Delhi,India,Lamborghini Delhi,3,230000,5.0,Lease


